Product,Price,Ounces,Source,Price per ounce,Categories,First unique?
Simple Truth Organic™ Ground Saigon Cinnamon,3.99,1.855813953,Kroger,2.150000001,5,7
McCormick Ground Cinnamon,3.49,1.62,Kroger,2.154320988,5,8
Kroger® Ground Cinnamon Shaker,4.99,1.94,Kroger,2.572164948,5,9
"Great Value Organic Ground Cinnamon, 1.5 oz",4.22,1.5,Walmart,2.813333333,5,10
"Great Value Pure Vanilla Extract, 2 fl oz",5.72,2,Walmart,2.86,1,7
Private Selection® Pure Vanilla Extract,8.99,3.132404181,Kroger,2.87,1,8
Private Selection® Pure Vanilla Extract,5.99,1.996666667,Kroger,2.999999999,1,9
"Great Value Pure Vanilla Extract, 1 fl oz",3.94,1,Walmart,3.94,1,10
"Great Value Cinnamon Sticks, 0.75 oz",3.22,0.75,Walmart,4.293333333,5,11
"52USA Organic Ceylon Cinnamon MFF30 Sticks, 1 Ounce (Pack of 1), True Cinnamon Farmed in Sri Lanka, Whole Cinnamon Sticks Bulk, Vegan, Non GMO, 28g",4.36,1,Walmart,4.36,5,12
"McCormick Gluten Free Pure Vanilla Extract, 1 fl oz Box",4.97,1,Walmart,4.97,1,11
"Food City Bakery Fresh Hand-dipped Milk Chocolate Covered Strawberries, 12 Ct",14.9912,0.005,Food City,2998.24,2,
,,,,,,
Daily's Watermelon Watermelon Frozen Cocktail,2,10,Food City,0.2,3,
ShortCuts Large Watermelon Bowl 48 oz,3.99,16,Food City,0.249375,3,
Dole Pineapple Slices,2.29,15.25,Food City,0.150163934,3,
,,,,,,
Fresh Whole Seedless Watermelon,8.99,96,Food City,0.093645833,3,
Fresh Granny Smith Apple,1.99,16,Food City,0.124375,4,
Fresh Organic Granny Smith Apples,2.99,16,Food City,0.186875,4,
Wild Harvest Organic Granny Smith Apples,5.99,32,Food City,0.1871875,4,
Seneca Granny Smith Apple Chips Peg,3,2.5,Food City,1.2,4,
"Basket & Bushel Granny Smith Apples, Washington Extra Fancy",4.99,48,Food City,0.103958333,4,
"ShortCuts Large Apple Bowl, Sliced Red And Granny Smith 48 oz",4.99,16,Food City,0.311875,4,
Birds Eye Steamfresh Gold And White Corn Frozen Vegetable Bag,2.49,10.8,Food City,0.230555556,5,
Birds Eye Sweet Peas,1.49,10,Food City,0.149,6,
Birds Eye Petite Sweet Peas,2.39,10,Food City,0.239,6,
Birds Eye Sauced Butter Petite Peas & Carrots,2.79,10.8,Food City,0.258333333,6,
Birds Eye Sugar Snap Peas & Water Chestnuts Carrots Broccoli STAND PACK,2.39,10.8,Food City,0.221296296,6,
 Microwavable Russet Baking Potato,1.25,8,Food City,0.15625,7,
Basket & Bushel Idaho Russet Potatoes Mesh Bag,6.99,160,Food City,0.0436875,7,
Fresh Russet Potatoes Bag,19.99,800,Food City,0.0249875,7,
"Basket & Bushel Potatoes, Russet",3.49,90,Food City,0.038777778,7,
Better Bakers Baking Potatoes,3.49,32,Food City,0.1090625,7,
"Basket & Bushel Potatoes, Russet, Idaho",3.99,90,Food City,0.044333333,7,
Birds Eye Carrots & Broccoli Florets Shredded Veggies,3.49,10,Food City,0.349,8,
"Basket & Bushel Baby Carrots, Cut & Peeled",1.99,16,Food City,0.124375,8,
,,,,,8,
ShortCuts Soup Starters Fresh Cut Vegetable Mix,4.99,16,Food City,0.311875,8,
" Organic Baby Carrots, Classic Cut And Peeled",2.29,16,Food City,0.143125,8,
ShortCuts Roasters Fresh Cut Roasting Vegetables,5.99,16,Food City,0.374375,8,
ShortCuts Fresh Cut Celery,3.99,16,Food City,0.249375,9,
"ShortCuts Recipe Ready Celery, Cut Fresh",2.49,8,Food City,0.31125,9,
ShortCuts Recipe Ready Fresh Cut Celery,3.99,16,Food City,0.249375,9,
ShortCuts Recipe Ready Fresh Cut Celery And Onions,2.49,8,Food City,0.31125,9,
ShortCuts Recipe Ready Fresh Cut Celery And Onions,3.99,16,Food City,0.249375,9,
Foxy Fresh Celery,1.99,16,Food City,0.124375,9,
"Fresh Zucchini, Squash",1.29,16,Food City,0.080625,10,
ShortCuts Grillers Zucchini Noodles,4.99,16,Food City,0.311875,10,
Pero Family Farms Organic Zucchini,1.99,6,Food City,0.331666667,10,
ShortCuts Grillers Fresh Cut Sliced Zucchini,3.99,16,Food City,0.249375,10,
,,,,,10,
"Pictsweet Farms Red Potatoes, Carrots, Onions & Zucchini",3.99,18,Food City,0.221666667,10,
Swanson® Vegetable Broth,2,32,Food City,0.0625,11,
Full Circle Market Vegetable Broth,2.29,32,Food City,0.0715625,11,
Pacific Foods Organic Vegetable Broth,3.99,32,Food City,0.1246875,11,
